Airline,Source,Destination,Total_Stops,Price,dept_day,dept_month,dept_hour,dept_minute,arrival_day,arrival_month,arrival_hour,arrival_minute,duration_hours,duration_minutes,Route1,Route2,Route3,Route4,Route5
Air India,S_Delhi,D_Cochin,1,5998,27,3,20,30,28,3,8,15,11,45,DEL,BLR,COK,Not Available,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,11467,1,5,17,0,2,5,19,10,2,10,CCU,DEL,BLR,Not Available,Not Available
IndiGo,S_Delhi,D_Cochin,1,6628,27,6,9,15,28,6,1,30,16,15,DEL,BOM,COK,Not Available,Not Available
SpiceJet,S_Kolkata,D_Bangalore,0,3873,6,5,22,20,7,5,0,40,2,20,CCU,BLR,Not Available,Not Available,Not Available
IndiGo,S_Bangalore,D_New Delhi,0,5694,24,3,13,0,24,3,15,50,2,50,BLR,DEL,Not Available,Not Available,Not Available
Air India,S_Kolkata,D_Bangalore,1,6528,6,5,14,35,7,5,15,20,0,45,CCU,MAA,BLR,Not Available,Not Available
SpiceJet,S_Bangalore,D_Delhi,0,3573,24,5,9,30,24,5,12,20,2,50,BLR,DEL,Not Available,Not Available,Not Available
Multiple carriers,S_Delhi,D_Cochin,1,6795,15,6,11,40,16,6,1,30,13,50,DEL,BOM,COK,Not Available,Not Available
Air Asia,S_Kolkata,D_Bangalore,0,4508,6,6,19,55,6,6,22,25,2,30,CCU,BLR,Not Available,Not Available,Not Available
Jet Airways,S_Mumbai,D_Hyderabad,0,5678,24,3,19,35,24,3,21,5,1,30,BOM,HYD,Not Available,Not Available,Not Available
Multiple carriers,S_Delhi,D_Cochin,1,9100,27,3,6,40,27,3,19,15,12,35,DEL,BOM,COK,Not Available,Not Available
Air Asia,S_Kolkata,D_Bangalore,0,4409,27,4,22,50,28,4,1,20,2,30,CCU,BLR,Not Available,Not Available,Not Available
Multiple carriers,S_Delhi,D_Cochin,1,8018,9,5,7,5,9,5,16,10,9,5,DEL,HYD,COK,Not Available,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,9663,24,5,14,5,25,5,9,20,19,15,CCU,BOM,BLR,Not Available,Not Available
IndiGo,S_Chennai,D_Kolkata,0,3850,24,6,7,55,24,6,10,15,2,20,MAA,CCU,Not Available,Not Available,Not Available
Air India,S_Delhi,D_Cochin,1,8669,15,5,7,0,15,5,19,15,12,15,DEL,BOM,COK,Not Available,Not Available
Air Asia,S_Kolkata,D_Bangalore,0,3782,21,3,22,50,22,3,1,20,2,30,CCU,BLR,Not Available,Not Available,Not Available
