iter	RMSE
0	0.4599058865
1	0.4171303347
2	0.3812745134
3	0.3508273895
4	0.3277305902
5	0.3079887257
6	0.291420634
7	0.276428811
8	0.2650455394
9	0.2568111646
10	0.2498659624
11	0.2435030075
12	0.2377861072
13	0.233823868
14	0.2316547324
15	0.2282879027
16	0.2253198714
17	0.2235741316
18	0.2216123957
19	0.2191706777
20	0.217344493
21	0.2156791105
22	0.2135160065
23	0.212303014
24	0.211272001
25	0.2101039151
26	0.2086414442
27	0.2078833228
28	0.2067556889
29	0.2058914465
30	0.2051087522
31	0.203744887
32	0.2028470553
33	0.2021600458
34	0.2008031258
35	0.2000332762
36	0.1990630586
37	0.1984533119
38	0.1974486147
39	0.1967679645
40	0.1962971656
41	0.1957076897
42	0.1951461188
43	0.194459474
44	0.1938667304
45	0.1930151888
46	0.192208654
47	0.1916999282
48	0.1912718526
49	0.190813015
50	0.1900883596
51	0.1898627751
52	0.1895084961
53	0.1889870844
54	0.1885080405
55	0.188115985
56	0.1873207332
57	0.1870223821
58	0.1867696302
59	0.1863901132
60	0.1860050986
61	0.1856415665
62	0.1852985703
63	0.1848914208
64	0.184418921
65	0.1842542604
66	0.1840373272
67	0.1832131376
68	0.1828206731
69	0.1827493346
70	0.182485336
71	0.1820613622
72	0.1817898328
73	0.1813498083
74	0.1810811677
75	0.1808430889
76	0.1806321698
77	0.1804561575
78	0.180027911
79	0.1798527054
80	0.1796494977
81	0.179512344
82	0.1791942434
83	0.1788944293
84	0.1785175281
85	0.1782560477
86	0.1777678836
87	0.1775225267
88	0.1771739478
89	0.1769208712
90	0.1767153969
91	0.1763934686
92	0.17617994
93	0.1758760458
94	0.1755522066
95	0.1754457334
96	0.1752793582
97	0.1752033888
98	0.1749397831
99	0.1746356013
100	0.1745085893
101	0.1742252838
102	0.1737844855
103	0.1734497777
104	0.172817902
105	0.1727312431
106	0.1725942402
107	0.1723797515
108	0.1721107493
109	0.1719648219
110	0.1716962974
111	0.1713391243
112	0.1709794222
113	0.1708637108
114	0.1706283278
115	0.1704906431
116	0.1703748474
117	0.1699382807
118	0.1697665538
119	0.1694687108
120	0.1692816649
121	0.1688515208
122	0.1683515887
123	0.1680307455
124	0.1678167734
125	0.167554889
126	0.1672442322
127	0.1671350422
128	0.1670476438
129	0.166894554
130	0.166815856
131	0.1667269124
132	0.1664646062
133	0.1661379779
134	0.1658379919
135	0.1656319593
136	0.1654609753
137	0.1652652857
138	0.1650469974
139	0.164975594
140	0.1647490032
141	0.1645708539
142	0.1642996272
143	0.164201072
144	0.1641359231
145	0.1640411088
146	0.1639095177
147	0.1636094398
148	0.1632834994
149	0.1631824719
150	0.1629735136
151	0.1627515145
152	0.1626722343
153	0.1626120809
154	0.1625458078
155	0.1623310417
156	0.162086693
157	0.1619621616
158	0.1616467273
159	0.1614144265
160	0.1611990658
161	0.1609920591
162	0.1606755295
163	0.1605091642
164	0.1603143238
165	0.1600655099
166	0.1600160405
167	0.1599385345
168	0.1598269489
169	0.1597718634
170	0.1597439804
171	0.1594816531
172	0.159332373
173	0.1591372651
174	0.1589707656
175	0.1587123997
176	0.158543354
177	0.1583838578
178	0.1582058497
179	0.1579598955
180	0.1579024102
181	0.1578120928
182	0.1576048431
183	0.1575570226
184	0.1574086187
185	0.1573467923
186	0.1571723894
187	0.1570296866
188	0.1568253656
189	0.156755094
190	0.1566463821
191	0.1565565015
192	0.1563540848
193	0.1561913951
194	0.1559527617
195	0.1558001193
196	0.1555260104
197	0.1553317295
198	0.1552013739
199	0.1550866317
200	0.1549902531
201	0.1546820847
202	0.1545459298
203	0.1544700963
204	0.1544077896
205	0.1541736613
206	0.1540544806
207	0.1538603619
208	0.1536816884
209	0.1535122506
210	0.1533593881
211	0.1532287838
212	0.1531315434
213	0.153054845
214	0.1529750652
215	0.1528803693
216	0.1528273515
217	0.1526865206
218	0.1525873165
219	0.1524626127
220	0.1522925828
221	0.1521990735
222	0.1520803123
223	0.1520523669
224	0.1519429267
225	0.1518721942
226	0.1516405282
227	0.1514635069
228	0.151366121
229	0.1513406434
230	0.1513211589
231	0.1511799385
232	0.1511073722
233	0.1510104622
234	0.1508736253
235	0.1508365445
236	0.1507273109
237	0.1506329311
238	0.1505394184
239	0.1504294175
240	0.1503045357
241	0.1502240354
242	0.150156018
243	0.1500567656
244	0.1499807961
245	0.149874273
246	0.1497385158
247	0.1497075916
248	0.1495557493
249	0.1494497303
250	0.1493496447
251	0.149195036
252	0.1491012295
253	0.1490536173
254	0.1489772728
255	0.1489083443
256	0.1488110065
257	0.1487616988
258	0.1486883232
259	0.148563617
260	0.1484134389
261	0.1483626491
262	0.1483112039
263	0.1481787637
264	0.1480840234
265	0.1478640967
266	0.1476773119
267	0.1475942965
268	0.1474775366
269	0.1474364404
270	0.1473827843
271	0.1473136946
272	0.1471023914
273	0.1469950665
274	0.1468800358
275	0.1467802872
276	0.1467643442
277	0.1467181703
278	0.1465951485
279	0.1465635616
280	0.1464530779
281	0.146391314
282	0.1463534815
283	0.1463040877
284	0.1462108745
285	0.1461282222
286	0.1460407217
287	0.1460125708
288	0.1459883135
289	0.1459636317
290	0.1458964856
291	0.1458622425
292	0.1457437436
293	0.1456677344
294	0.1455497798
295	0.1454265532
296	0.1453359528
297	0.1452521954
298	0.1451850709
299	0.145153959
300	0.1450430197
301	0.1448836324
302	0.1447916996
303	0.1446970744
304	0.1446001517
305	0.1445334792
306	0.1444924872
307	0.144386508
308	0.1442954741
309	0.1442033937
310	0.1440991856
311	0.1440614175
312	0.1439991859
313	0.1438365175
314	0.143769548
315	0.1436677506
316	0.143559027
317	0.1434437806
318	0.1434206864
319	0.1433621654
320	0.1433348438
321	0.1433116742
322	0.1432231804
323	0.1431930866
324	0.1431307266
325	0.1430858251
326	0.1429844098
327	0.142922515
328	0.142859375
329	0.1427688742
330	0.1426302921
331	0.1425448821
332	0.1424625907
333	0.1423663896
334	0.1422596213
335	0.1422244905
336	0.1421949432
337	0.1421109711
338	0.1420288696
339	0.1419395715
340	0.1418855592
341	0.1418064463
342	0.1417465368
343	0.1417152974
344	0.1416418741
345	0.141528225
346	0.1414845102
347	0.1413638168
348	0.1413001598
349	0.1412620558
350	0.1411943318
351	0.1411259467
352	0.1410605857
353	0.1409546622
354	0.1409324145
355	0.1409075087
356	0.140843019
357	0.1407627819
358	0.1407091199
359	0.1406898609
360	0.1406537617
361	0.1405756913
362	0.1405206926
363	0.1404546934
364	0.1404369673
365	0.1403685982
366	0.1403263245
367	0.1403034881
368	0.1402831523
369	0.1402569224
370	0.1401699296
371	0.1400064521
372	0.1399675762
373	0.1399390007
374	0.1398216402
375	0.1397673431
376	0.139728434
377	0.1396530542
378	0.1396254328
379	0.1395658813
380	0.1395258911
381	0.1394880405
382	0.1393500937
383	0.1392813319
384	0.1391634098
385	0.139081239
386	0.139031289
387	0.1389818521
388	0.1389603701
389	0.1388994416
390	0.1388424869
391	0.1387895361
392	0.1387052797
393	0.1386834387
394	0.1386170927
395	0.1385271969
396	0.1384507681
397	0.1384336679
398	0.1383986148
399	0.1383795687
400	0.1383186437
401	0.1382197045
402	0.1381973873
403	0.1381761861
404	0.1381575184
405	0.1381400096
406	0.1380973605
407	0.138024177
408	0.1379806734
409	0.1379163876
410	0.1378546167
411	0.1377534625
412	0.1377079619
413	0.1376342164
414	0.1376116602
415	0.1375646264
416	0.1375299569
417	0.1374913982
418	0.1374710727
419	0.1373943241
420	0.137369505
421	0.1373022622
422	0.1372584583
423	0.1371774807
424	0.1371077471
425	0.1370191235
426	0.1369690539
427	0.136955315
428	0.1368973856
429	0.1368348665
430	0.1367874901
431	0.1367368687
432	0.1366260007
433	0.1365719088
434	0.1364459558
435	0.1363882607
436	0.1363642052
437	0.1363121944
438	0.1362645093
439	0.1362052879
440	0.136137972
441	0.1360451132
442	0.1359999173
443	0.1359472065
444	0.1359139728
445	0.1358648495
446	0.1358388233
447	0.1358226026
448	0.1357811299
449	0.1357416644
450	0.1356766021
451	0.1355591752
452	0.1354816347
453	0.1354145263
454	0.1353735731
455	0.1353157599
456	0.1352712735
457	0.1351954922
458	0.1351685924
459	0.1351100587
460	0.1350617258
461	0.1350066743
462	0.1349840616
463	0.1349105268
464	0.134857244
465	0.134792285
466	0.1347570202
467	0.1346938199
468	0.1346444099
469	0.1345905277
470	0.1345705583
471	0.1345030948
472	0.1344267228
473	0.1343870556
474	0.1343076549
475	0.1342880985
476	0.1342240371
477	0.1341645161
478	0.1340869506
479	0.1340093271
480	0.1339280834
481	0.1338923967
482	0.1338066969
483	0.1337572978
484	0.1337006627
485	0.1336604881
486	0.1336122457
487	0.133557403
488	0.1335269233
489	0.1335181544
490	0.1334772334
491	0.1334034178
492	0.1333514463
493	0.1333422852
494	0.1333341184
495	0.1332537534
496	0.133247542
497	0.1331843797
498	0.1331490975
499	0.1331112458
