iter	Passed	Remaining
0	2	227
1	4	210
2	6	203
3	8	202
4	10	195
5	12	191
6	14	187
7	15	183
8	17	179
9	19	177
10	21	174
11	23	171
12	25	169
13	27	166
14	28	164
15	30	161
16	32	160
17	35	162
18	37	159
19	39	156
20	41	154
21	42	151
22	44	149
23	46	147
24	48	145
25	50	142
26	52	140
27	54	138
28	55	136
29	57	134
30	59	132
31	61	130
32	63	128
33	65	126
34	67	125
35	69	124
36	71	122
37	73	120
38	75	118
39	77	116
40	79	114
41	81	112
42	83	110
43	84	108
44	86	106
45	88	104
46	90	102
47	92	100
48	94	98
49	96	96
50	99	95
51	101	93
52	104	92
53	106	91
54	109	89
55	111	87
56	112	85
57	114	83
58	116	81
59	118	78
60	120	76
61	122	74
62	123	72
63	126	70
64	128	68
65	129	66
66	131	64
67	133	62
68	135	60
69	137	58
70	139	57
71	141	55
72	143	53
73	145	51
74	147	49
75	149	47
76	150	45
77	152	43
78	154	41
79	156	39
80	158	37
81	159	35
82	161	33
83	163	31
84	165	29
85	167	27
86	169	25
87	170	23
88	173	21
89	175	19
90	176	17
91	178	15
92	180	13
93	182	11
94	183	9
95	185	7
96	187	5
97	189	3
98	191	1
99	192	0
