iter	RMSE
0	4211.175498
1	4063.430987
2	3931.226711
3	3793.707744
4	3663.621619
5	3548.326086
6	3437.550278
7	3340.26273
8	3248.18149
9	3165.452963
10	3089.452051
11	3014.709747
12	2951.16588
13	2891.996457
14	2837.961054
15	2787.171359
16	2734.666693
17	2690.415815
18	2649.176822
19	2613.068255
20	2576.985436
21	2549.471363
22	2523.212648
23	2490.179495
24	2461.620755
25	2432.82323
26	2409.282683
27	2388.66723
28	2368.478534
29	2347.532808
30	2324.4136
31	2309.100103
32	2290.006075
33	2276.983749
34	2261.684841
35	2251.910344
36	2239.256576
37	2224.744789
38	2215.711033
39	2207.861352
40	2198.345021
41	2190.110629
42	2184.314306
43	2174.577261
44	2168.625787
45	2157.133266
46	2151.226762
47	2145.699339
48	2139.983363
49	2131.107781
50	2121.802284
51	2114.930122
52	2108.781385
53	2098.756978
54	2093.931575
55	2088.910816
56	2085.102756
57	2078.579308
58	2074.427495
59	2064.893908
60	2061.485929
61	2057.710587
62	2052.241929
63	2048.444834
64	2042.47001
65	2035.462143
66	2032.565071
67	2027.472166
68	2022.415884
69	2019.658478
70	2014.341388
71	2009.987905
72	2006.413882
73	2003.105566
74	2000.692564
75	1997.887821
76	1992.568534
77	1986.712295
78	1983.667323
79	1977.95149
80	1975.690891
81	1972.777434
82	1970.640561
83	1967.538562
84	1964.910428
85	1961.687358
86	1960.018426
87	1958.157712
88	1955.895213
89	1953.693394
90	1950.270435
91	1944.919897
92	1943.207447
93	1940.730173
94	1936.716658
95	1934.935098
96	1932.058197
97	1929.620428
98	1926.686259
99	1923.861001
100	1921.407859
101	1918.686671
102	1915.670612
103	1912.749333
104	1910.342075
105	1907.86582
106	1905.215119
107	1902.973327
108	1900.547761
109	1897.955988
110	1895.725227
111	1894.53153
112	1892.450389
113	1889.864296
114	1886.657476
115	1885.362426
116	1883.178992
117	1880.48605
118	1878.793368
119	1875.503431
120	1872.381609
121	1870.276752
122	1868.251572
123	1865.994931
124	1863.451622
125	1860.780598
126	1859.873112
127	1857.727814
128	1856.275039
129	1853.602287
130	1851.482805
131	1849.655894
132	1847.841903
133	1845.973639
134	1843.133766
135	1841.093722
136	1838.45651
137	1836.805373
138	1834.579521
139	1833.719408
140	1831.446178
141	1830.161437
142	1828.980946
143	1827.237661
144	1825.294399
145	1823.903488
146	1822.926497
147	1820.348311
148	1817.032185
149	1815.133011
150	1813.625716
151	1811.298139
152	1809.246757
153	1808.083116
154	1807.036448
155	1804.916401
156	1802.355999
157	1801.033357
158	1799.057353
159	1796.647226
160	1794.528956
161	1792.773494
162	1791.525458
163	1789.311163
164	1788.307721
165	1787.068962
166	1785.045728
167	1782.552465
168	1780.611432
169	1778.607677
170	1776.51321
171	1773.77232
172	1772.026382
173	1770.71114
174	1768.712351
175	1767.220485
176	1765.273921
177	1763.444363
178	1762.000509
179	1759.628049
180	1757.922512
181	1756.779847
182	1755.401444
183	1754.175808
184	1752.133095
185	1750.557261
186	1749.185566
187	1747.886547
188	1746.544258
189	1745.241521
190	1744.104716
191	1742.575543
192	1740.774962
193	1739.008398
194	1737.314751
195	1736.030209
196	1735.190389
197	1732.605506
198	1731.606259
199	1729.685313
200	1726.92721
201	1724.736385
202	1723.042569
203	1721.33692
204	1718.190554
205	1716.575568
206	1715.083639
207	1713.481092
208	1712.526036
209	1710.936988
210	1709.19592
211	1708.010043
212	1706.883027
213	1706.013624
214	1703.522581
215	1701.328438
216	1700.169378
217	1697.683003
218	1696.834656
219	1695.808386
220	1694.820958
221	1693.540796
222	1692.067159
223	1690.565134
224	1689.056714
225	1688.194335
226	1686.581111
227	1684.20422
228	1682.035403
229	1680.997276
230	1680.109979
231	1678.80297
232	1677.379647
233	1676.028315
234	1674.444771
235	1672.875355
236	1671.634262
237	1670.356944
238	1668.855328
239	1666.727219
240	1665.754267
241	1664.708933
242	1663.787143
243	1663.075759
244	1661.314949
245	1660.145709
246	1658.906888
247	1657.917296
248	1656.70995
249	1656.063295
250	1654.762502
251	1653.881263
252	1652.446583
253	1651.266974
254	1649.876164
255	1647.928037
256	1646.60929
257	1645.462631
258	1644.489895
259	1642.731368
260	1641.108223
261	1640.059636
262	1638.766026
263	1637.520931
264	1636.156329
265	1635.040227
266	1634.242579
267	1633.455012
268	1632.048122
269	1630.795527
270	1629.640075
271	1628.845281
272	1627.788583
273	1626.758174
274	1625.538378
275	1624.796825
276	1624.027586
277	1623.405102
278	1622.827286
279	1621.692242
280	1620.48702
281	1619.446048
282	1618.741502
283	1617.619805
284	1616.476757
285	1615.912645
286	1615.112535
287	1614.01549
288	1613.337256
289	1612.097446
290	1611.54945
291	1610.909121
292	1609.688575
293	1608.716671
294	1608.147682
295	1607.675765
296	1606.901025
297	1606.401684
298	1605.927275
299	1604.681352
300	1603.433334
301	1602.383251
302	1601.644936
303	1600.686401
304	1599.949898
305	1598.890005
306	1598.084224
307	1597.417595
308	1596.56996
309	1595.478575
310	1594.830815
311	1594.302744
312	1593.690926
