iter	Passed	Remaining
0	3	3206
1	6	3021
2	8	2821
3	10	2670
4	13	2597
5	15	2497
6	17	2415
7	19	2456
8	21	2413
9	23	2373
10	26	2337
11	28	2308
12	30	2281
13	32	2260
14	34	2242
15	36	2246
16	38	2238
17	40	2221
18	42	2206
19	44	2193
20	46	2179
21	48	2165
22	50	2159
23	53	2170
24	56	2186
25	58	2176
26	60	2164
27	62	2152
28	63	2140
29	65	2133
30	68	2135
31	70	2125
32	72	2116
33	74	2109
34	76	2098
35	78	2089
36	79	2079
37	81	2072
38	84	2072
39	86	2065
40	88	2059
41	89	2052
42	91	2046
43	93	2039
44	95	2032
45	98	2034
46	100	2030
47	101	2022
48	103	2014
49	105	2004
50	107	1995
51	109	1987
52	110	1979
53	112	1972
54	114	1969
55	116	1962
56	118	1965
57	120	1959
58	122	1953
59	124	1946
60	125	1939
61	127	1933
62	129	1931
63	131	1927
64	133	1923
65	135	1921
66	137	1918
67	139	1918
68	142	1921
69	144	1921
70	146	1919
71	148	1914
72	150	1911
73	152	1907
74	154	1899
75	156	1896
76	157	1893
77	159	1889
78	162	1890
79	164	1888
80	166	1887
81	168	1883
82	170	1878
83	171	1874
84	173	1868
85	175	1864
86	177	1863
87	179	1859
88	181	1854
89	183	1850
90	184	1846
91	186	1841
92	188	1836
93	190	1832
94	192	1829
95	194	1829
96	196	1825
97	197	1820
98	199	1816
99	201	1812
100	203	1807
101	204	1803
102	206	1798
103	208	1797
104	223	1906
105	226	1907
106	227	1902
107	229	1897
108	231	1892
109	233	1887
110	234	1882
111	236	1877
112	238	1874
113	240	1872
114	242	1868
115	244	1863
116	246	1858
117	247	1852
118	249	1848
119	251	1844
120	254	1845
121	256	1843
122	258	1840
123	260	1836
124	261	1833
125	263	1829
126	265	1827
127	267	1823
128	270	1823
129	272	1821
130	274	1818
131	275	1813
132	277	1809
133	279	1805
134	281	1800
135	282	1796
136	284	1794
137	286	1790
138	288	1786
139	290	1782
140	291	1778
141	293	1773
142	295	1769
143	297	1765
144	298	1761
145	300	1759
146	302	1755
147	304	1754
148	306	1752
149	308	1750
150	310	1748
151	312	1745
152	314	1741
153	316	1740
154	318	1737
155	320	1734
156	322	1732
157	324	1729
158	326	1726
159	328	1724
160	330	1721
161	332	1721
162	334	1718
163	336	1715
164	338	1712
165	340	1709
166	342	1705
167	343	1703
168	345	1699
169	347	1698
170	349	1696
171	351	1693
172	353	1690
173	355	1687
174	357	1684
175	359	1681
176	360	1678
177	363	1676
178	364	1674
179	366	1671
180	369	1670
181	370	1667
182	372	1664
183	374	1661
184	376	1658
185	378	1655
186	380	1654
187	382	1651
188	384	1648
189	385	1645
190	387	1641
191	389	1638
192	391	1635
193	392	1632
194	395	1631
195	397	1628
196	398	1625
197	400	1622
198	402	1619
199	404	1616
200	405	1613
201	407	1610
202	409	1607
203	411	1606
204	413	1603
205	415	1600
206	417	1597
207	418	1594
208	420	1592
209	422	1589
210	424	1586
211	426	1584
212	428	1582
213	429	1578
214	431	1576
215	433	1573
216	435	1570
217	436	1567
218	438	1565
219	441	1563
220	443	1562
221	445	1559
222	446	1556
223	448	1554
224	450	1551
225	452	1548
226	454	1546
227	455	1543
228	458	1542
229	460	1540
230	461	1537
231	463	1535
232	465	1533
233	467	1530
234	469	1527
235	471	1524
236	473	1523
237	475	1520
238	476	1518
239	478	1515
240	480	1512
241	482	1510
242	484	1507
243	485	1505
244	487	1502
245	489	1501
246	491	1499
247	493	1496
248	495	1494
249	497	1491
250	499	1489
251	500	1486
252	502	1484
253	505	1483
254	506	1480
255	508	1478
256	510	1476
257	512	1474
258	514	1471
259	516	1469
260	518	1466
261	520	1465
262	522	1462
263	523	1460
264	525	1457
265	527	1455
266	529	1452
267	530	1450
268	532	1447
269	534	1445
270	536	1443
271	538	1442
272	540	1439
273	542	1437
274	544	1435
275	546	1432
276	548	1430
277	549	1427
278	551	1425
279	553	1423
280	555	1421
